사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-11,3호선,72,을지로3가,6,0,602,938,1040,8622,2021,30826,3462,74680,4067,34274,5226,15867,7649,12987,8900,12505,10697,12426,13144,11246,14580,10801,18286,11205,39280,13851,63649,16504,25997,8077,16872,3545,17008,2634,14914,1865,6625,1693,4,200,0,0,0,0,0,0
2021-11,3호선,73,충무로,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,2,0,5,0,4,0,4,0,3,0,0,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0
2021-11,3호선,74,동대입구,23,2,1311,1176,2432,9717,5313,14936,7390,50123,5964,29209,5283,19107,8817,16307,8366,14509,9610,14876,12884,12772,16452,10036,21355,11362,36650,12641,34608,14155,16627,6851,13909,3904,13732,4250,10538,3464,2289,2154,2,334,0,0,0,0,0,0
2021-11,3호선,75,약수,134,5,5930,942,9603,5551,23896,14211,39196,34158,26046,21065,17922,14709,16964,13960,18369,14769,18684,14714,17707,15868,19186,17848,21146,22082,25795,27832,32360,41558,16747,25809,13176,16228,12982,15318,10704,14093,3466,8677,21,2584,0,0,0,0,0,0
2021-11,3호선,76,금호,37,12,4390,469,8940,2705,25258,4848,35671,8880,21908,6770,13746,6591,11854,6425,11568,7529,11270,8929,9981,9641,9901,12510,10798,14023,11681,20409,11275,30300,6857,20149,5279,13563,4115,11532,3410,11105,1003,5808,0,1,1,2,0,0,0,0
2021-11,3호선,77,옥수,255,23,2851,848,8641,4523,21811,8488,29694,14684,19827,11236,14053,8684,12710,9783,12784,11022,14060,12381,13433,12602,14338,15029,15895,17580,17764,24207,17191,33138,10450,23957,8255,14733,7432,12796,5361,12812,1831,7062,6,115,0,0,0,0,0,0
2021-11,3호선,78,압구정,67,3,2819,1971,6916,22996,14720,43280,22727,143126,18599,147378,22700,72829,29551,56481,33397,47242,36683,51573,46019,47404,54702,43288,66548,45035,90223,53832,136967,59004,92483,30964,68650,14176,53345,10634,40203,9057,8379,5153,18,1789,0,0,0,0,0,0
2021-11,3호선,79,신사,55,6,3083,1463,5410,20604,9602,44180,17348,114859,13841,141944,17411,69690,23066,49089,27686,46029,32587,49416,39592,46777,49174,44019,61807,46726,90701,53631,137188,70836,92273,38547,59900,15018,66706,10751,55029,8219,18060,5613,2,195,0,0,0,0,0,0
2021-11,3호선,80,잠원,1,0,952,586,4272,5153,10493,7316,15812,11961,10099,6961,7002,4849,7112,5346,7664,5766,7376,6813,6899,6382,7676,6944,9796,7722,11650,10208,9829,13603,5594,10377,3809,5875,3695,5894,2801,5836,586,3310,0,5,0,0,0,0,0,0
2021-11,3호선,81,고속터미널,92,1,4377,3593,6608,30421,22293,44280,40803,68716,44976,90855,46408,79782,56274,86297,67397,81501,72870,82742,82615,85698,92718,89739,102218,90063,119100,95461,118605,105809,101314,65053,111766,39809,68186,30942,42628,21257,14272,11478,12,454,0,0,0,0,0,0
2021-11,3호선,82,교대(법원.검찰청),26,1,1131,830,3159,6166,8483,17004,12336,46872,9896,36130,10789,15391,13445,10757,14915,10378,18655,10479,21362,9660,23261,10032,26590,10326,42011,13970,64878,17913,26684,9213,22208,4390,23371,3610,21454,3086,5946,2606,9,102,0,0,0,0,0,0
2021-11,3호선,83,남부터미널(예술의전당),60,1,2583,1382,7850,23935,25856,55634,41130,152199,32434,85920,30551,48683,34008,35038,38304,37036,39377,41129,40696,41169,45786,41054,54932,44305,91122,50117,135397,59387,60803,37605,42294,21577,37224,16755,27366,12090,7067,9331,1,189,0,0,0,0,0,0
2021-11,3호선,84,양재(서초구청),39,0,4671,2547,13415,40326,32953,103848,45835,239260,32515,135119,29206,56958,33181,45320,36733,42313,41481,46942,45362,39991,54301,42161,69324,45352,127790,60767,206232,78516,89388,49137,61790,29357,54933,25959,39189,20250,9765,14249,14,1855,0,0,0,0,0,0
2021-11,3호선,85,매봉,14,1,1341,470,6763,8142,15574,21431,20320,65090,13687,43286,11373,15320,11623,13786,11971,12069,13062,12545,15908,10440,17556,11967,20654,12676,37160,17820,63917,23744,22309,15633,14433,8598,15701,7737,9838,6684,2327,4459,8,617,0,0,0,0,0,0
2021-11,3호선,86,도곡,18,0,923,337,3490,4513,8374,12825,11128,21357,7304,16099,5859,7643,5938,7155,6256,7057,6615,7147,7339,6405,9544,6562,11886,6640,16187,8340,18287,10720,9079,8483,5929,4674,5118,4269,3977,3728,879,2626,6,1883,0,0,0,0,0,0
2021-11,3호선,87,대치,24,1,2549,605,10122,8053,22970,13648,23588,25791,14334,17538,11641,12678,11676,11902,13278,15081,13494,16978,13425,16873,16635,19558,19474,21536,25685,26907,26147,27797,17635,21231,11912,11061,14373,10165,22306,9094,2285,5860,1,19,0,0,0,0,0,0
2021-11,3호선,88,학여울,5,0,534,297,1872,1866,3673,3443,4130,8267,2658,5614,2368,4751,2748,3829,3468,3748,4120,4741,4111,4468,5348,3889,6240,3183,7980,3652,7421,4085,2568,3325,1788,1972,1589,1833,1088,1686,169,1122,0,9,0,0,0,0,0,0
2021-11,3호선,89,대청,51,3,3229,1021,10139,6480,26057,14063,32513,26848,18847,12529,14194,8338,12272,7896,12611,9223,13200,9673,13047,10288,17247,13608,18119,14553,22387,19065,27332,26336,10736,21946,7271,13739,5652,12155,4571,12895,1221,7097,4,116,0,1,0,0,0,0
2021-11,3호선,90,일원,10,0,2011,1257,7808,9293,20553,28385,21831,25218,14766,18354,14923,15561,15866,11125,15931,13503,14158,14801,15396,13175,20293,12633,25314,11023,34533,13946,17239,18347,8608,15323,5346,9605,3694,9365,3129,9211,911,4330,0,104,0,0,0,0,0,0
2021-11,3호선,91,수서,331,10,4521,2104,11048,16726,32976,31498,43318,52912,27773,32227,27185,22191,22620,17956,27809,22676,25808,21161,20467,21427,30008,25089,35622,28590,42328,35561,51114,49069,22468,35337,21435,22621,14284,18557,13892,18376,3956,7424,5,994,0,0,0,0,0,0
2021-11,3호선,92,가락시장,29,5,2518,480,6359,5300,18236,11439,21864,29626,15003,15151,12892,10807,12922,10502,12600,10644,12715,11614,12991,11889,13564,13807,15227,14785,20069,17809,28224,23246,11365,16333,8404,10694,7747,8935,5777,7889,1328,4412,13,1457,0,1,0,0,0,0
2021-11,3호선,93,경찰병원,14,0,2324,172,6758,3085,21243,8699,25564,28785,14537,14531,10627,8681,9533,6601,8712,7285,8985,8596,9163,7852,10053,8789,9967,9439,15540,13741,20148,21394,6978,16058,5279,9965,4882,7803,3290,7475,677,3970,3,1159,0,0,0,0,0,0
2021-11,3호선,94,오금,18,0,3866,12,7117,2164,24221,5396,30660,13579,15081,5507,8511,4673,7617,4365,7982,5398,7694,5976,6366,5557,6282,7891,7816,8832,10479,13029,11857,20947,4553,15028,3375,9623,2845,8397,2104,8890,396,4725,0,1827,0,1,0,0,0,0
2021-11,4호선,100,수유(강북구청),81,8,20471,3111,43648,12212,109041,20399,126591,56129,74867,38989,50974,29465,46506,29855,47686,32310,46631,37156,44127,39925,43980,48027,47690,61470,56446,78138,59755,122743,33622,110326,24794,63220,22795,53771,17638,46891,7953,33661,7,197,0,0,0,0,0,0
2021-11,4호선,101,미아(서울사이버대학),46,8,10416,1251,19505,5040,45875,14274,54092,32391,31877,18944,22460,14342,20143,15284,21680,15312,20711,16873,20117,18873,20571,23409,23340,25667,24517,33080,26722,45167,14687,38155,9817,22302,8506,19625,6476,16398,1960,12248,4,49,1,1,0,0,0,0
2021-11,4호선,102,미아사거리,67,7,14028,1905,36187,8512,93166,17761,106128,33475,60402,31226,40302,27211,37599,27723,37884,29734,38046,32655,36715,35445,39295,44185,43320,50509,42912,67490,42387,101590,29463,80459,27642,44625,17056,39330,12938,33981,4827,20989,4,82,0,0,1,0,0,0
2021-11,4호선,103,길음,10,3,9129,1790,27849,7441,79412,12630,87568,27820,46184,20660,30887,17342,25965,19132,27420,20657,26385,23337,24375,24583,25094,28317,27741,34035,33178,47552,29740,76076,16553,59450,12932,33859,9891,30941,9856,28632,2669,17638,1,81,0,0,1,1,0,0
2021-11,4호선,104,성신여대입구(돈암),11,0,5424,1654,17099,5553,45108,15466,54968,35113,34073,26247,25532,21858,25373,25380,28946,25085,28798,27227,28728,29151,31900,29839,34976,34614,42792,47138,45852,66872,28001,51194,24449,29801,26526,26917,24084,24547,8415,15785,4,101,1,0,0,0,0,0
2021-11,4호선,105,한성대입구(삼선교),121,29,6818,1033,11812,6951,29614,16977,39049,29999,25030,23082,18460,17309,17884,17531,20127,17619,20522,19227,20587,18311,22406,19853,28731,23769,32059,28743,30603,37272,16578,28446,13120,17871,12038,16086,9594,15614,3407,11586,5,5627,2,2,0,0,0,0
2021-11,4호선,106,혜화,38,2,3105,2629,6947,21074,17408,47625,21664,117041,23683,83278,29523,57591,35686,53108,35269,63184,37702,76358,47537,70780,68757,56274,78305,53707,101112,61533,116182,69255,64691,47541,59929,17879,83474,16906,66587,14187,19922,9939,7,445,0,0,0,0,0,0
2021-11,4호선,107,동대문,184,24,5312,2691,3218,15765,5221,34632,7319,78814,11709,66629,16500,52150,23022,46944,28199,40713,31782,39088,40717,37257,49471,30472,60981,23057,87182,17432,64658,13661,29497,14911,20203,10278,21406,6140,12671,4479,4238,5127,3,183,0,0,0,0,0,0
2021-11,4호선,108,동대문역사문화공원(DDP),337,2,6334,1428,4063,12589,6839,24968,8229,71304,7477,38086,8975,24308,12500,22000,15214,21182,17093,21149,21967,20201,27817,17237,32996,15415,53605,16355,70619,17872,34360,21966,24450,10925,25192,7610,18399,5569,6968,5521,12,769,5,5,0,0,0,0
2021-11,4호선,109,충무로,71,5,2964,2790,4024,19213,8304,51899,12686,173656,13189,97303,13880,49684,19674,39946,22727,36400,28660,36783,35424,32611,41463,27998,52386,28218,86240,32145,142710,36148,64901,20249,45321,10334,44940,9598,36599,8120,14707,6791,17,883,2,2,0,0,0,0
2021-11,4호선,110,명동,19,2,698,818,2279,12891,4036,38760,6188,105866,7228,65491,8962,37856,14792,37465,19494,36827,24780,35693,28483,31221,38447,30321,45498,25824,63200,26339,105206,24891,46007,13278,39578,6845,32332,4960,19162,3635,4788,2073,9,326,1,2,1,0,0,0
2021-11,4호선,111,회현(남대문시장),28,0,1812,771,2857,17579,4531,46955,7747,126553,8298,93644,12314,70457,21921,61082,30438,49368,38288,44017,45751,40254,57040,33302,70877,24150,90823,18746,113696,16302,41866,8389,39932,4812,18790,5557,10777,3725,3312,2175,7,369,1,1,0,0,0,0
2021-11,4호선,112,서울역,178,6,3780,523,5588,12708,11161,31843,15203,82643,11135,43194,9294,22460,11045,20259,12006,23669,11988,23629,12428,22883,13462,25497,16694,25909,39353,31529,59083,33478,19768,22860,12861,15104,12115,13838,8774,12133,3126,6783,19,2078,1,2,0,0,0,0
2021-11,4호선,113,숙대입구(갈월),16,3,2658,636,7118,6659,15536,21022,25380,51912,17440,29770,13634,17087,14813,15801,18012,16327,16721,16736,17709,16856,20574,16627,26929,19931,34335,25815,49277,34610,22242,21477,17440,12859,17960,11625,16718,10494,6230,6475,1,3,0,0,0,0,0,0
2021-11,4호선,114,삼각지,4,0,688,297,2109,3416,6458,9241,10471,22637,6196,11017,4200,7292,4464,7872,5367,8015,6383,7923,6253,6902,6790,7564,8391,8863,13576,12136,21106,17797,8833,10427,7313,5444,8402,4981,7415,4533,3412,3420,7,478,0,0,0,0,0,0
2021-11,4호선,115,신용산,3,0,1195,1009,3865,9859,11046,32207,17080,92758,12790,68388,10928,28433,14522,21299,15600,21901,18018,22668,19139,21118,23435,21555,28865,22898,55526,27505,91539,34626,40747,20154,29557,11024,27247,8584,19242,6548,7279,3641,0,0,0,0,0,0,0,0
2021-11,4호선,116,이촌(국립중앙박물관),40,0,1008,577,4442,6873,12024,13484,16892,26006,11140,15892,8431,11016,8853,11264,10870,12634,10717,13735,11523,13738,14063,13531,19508,13564,22922,14729,23130,19491,9115,13409,6821,7690,6876,6958,4243,6596,1353,3817,0,2,1,1,0,0,0,0
2021-11,4호선,117,동작(현충원),7,0,263,268,883,2695,2203,3555,3149,5524,2452,3543,2317,3331,2493,2684,2599,2439,2531,3041,2924,3357,3583,3247,4575,3184,5490,3645,4956,4129,2188,2709,1895,1768,1817,1367,1231,1112,308,1192,1,390,0,0,0,0,0,0
2021-11,4호선,118,총신대입구(이수),113,3,6094,1030,15699,9251,45673,16681,59917,41328,36187,30671,26174,23149,25086,23646,27126,24723,28261,27633,27423,29903,27324,34447,30086,40184,34640,52452,41387,75290,23636,47117,19811,25729,17704,22339,15925,20210,5722,12239,2,205,0,0,0,0,0,0
2021-11,4호선,119,사당,128,34,9736,1147,24063,16026,63219,20843,87645,35044,63442,27140,38462,22080,32230,25939,34147,27234,34392,25825,33170,25666,31949,29793,34279,40111,41429,59102,47095,90113,31455,56932,27450,31186,30462,27957,28029,26899,9678,20650,28,2336,0,7,0,0,0,0
2021-11,4호선,120,남태령,71,1,481,128,892,1302,2345,3240,3120,4623,2555,1934,2027,1362,2042,1195,2022,1442,2107,1489,1996,1497,2071,1646,2827,1586,4478,1708,3926,2030,1434,1548,1030,1129,607,1135,319,726,109,478,0,55,0,0,0,0,0,0
2021-11,4호선,95,당고개,49,0,8283,27,20197,6111,54844,9707,54533,13487,31860,11707,21488,11587,18699,11011,18637,12937,18273,12890,16393,13866,15801,17499,15893,20412,17730,27153,16161,39699,10708,36068,6066,23221,4761,20211,3635,18478,880,13708,1,240,0,0,0,0,0,0
2021-11,4호선,96,상계,50,4,13596,180,32888,7577,86326,13184,78902,19674,42047,15845,29345,15116,25828,15443,26697,17682,24036,19273,21587,20318,22851,25310,23980,30699,24051,40562,21688,64087,14017,59940,10415,34232,9563,30545,9441,27321,2347,18637,0,41,0,0,0,0,0,0
2021-11,4호선,97,노원,195,4,10930,447,22466,6630,52746,12424,57985,27820,32931,27583,24937,22107,24002,21940,26652,24949,26448,28038,24758,28578,26066,31433,28670,37974,30556,50946,31299,80926,21541,65283,23051,36028,21631,30184,18673,26709,7034,17842,19,4959,0,0,0,0,0,0
2021-11,4호선,98,창동,1846,15,15458,2609,36638,12739,93174,17416,80591,37267,49118,29679,38787,26304,35271,26890,37502,31720,36412,35946,34259,40322,36478,45229,41115,51261,43848,63558,42201,92643,23389,78785,18277,44218,16938,38406,12943,34464,5420,22432,354,5104,0,0,0,0,0,0
2021-11,4호선,99,쌍문,253,8,23259,1049,50458,9358,123061,14177,133931,28032,75184,19792,49393,18652,41353,20066,40588,23612,37968,25458,32759,29057,31156,38247,33282,47701,36134,64251,33455,102071,20015,99689,14509,57014,12406,48115,8862,43966,2990,28957,19,1894,2,3,0,0,0,0
2021-11,경부선,121,서울역,4,0,52,359,64,2617,9091,4705,18296,5177,11071,3873,11735,2917,13604,1655,12136,2838,12083,2569,6827,2425,14846,2901,14514,3563,13482,5839,17430,7912,14819,3984,9278,2456,13320,2088,8450,2000,3346,369,18,16,0,0,0,0,0,0
2021-11,경부선,122,남영,67,7,2640,1002,4309,8036,11102,18521,16530,49804,10158,27722,8246,11658,9305,10387,10599,10699,10156,10647,11049,10146,14709,10390,17650,12341,25498,15730,43582,21870,16338,13647,11729,8213,11733,7613,10212,6902,3803,4913,28,494,0,0,0,0,0,0
2021-11,경부선,123,용산,403,12,3657,5375,5048,30571,19283,68272,30839,146098,31094,104469,27364,74187,44356,57650,39783,59846,48678,64263,48684,62063,73819,60885,81135,59879,116303,64074,152112,71610,86943,48451,83802,29099,75009,22023,49260,11193,17488,6130,118,1063,0,0,0,0,0,0
2021-11,경부선,124,노량진,505,9,5020,1808,6808,5143,16395,11521,23872,18166,13458,11979,10240,8673,10258,9223,11873,10695,13238,11471,12073,10691,12531,12683,14246,15822,18608,24042,19935,38689,12980,22093,13071,12078,15792,11313,14644,9339,4375,6456,83,749,3,0,0,0,0,0
2021-11,경부선,125,대방,491,2,5887,2169,10321,10010,28866,33910,39888,51338,21716,22981,15584,12570,14953,11456,16102,12799,16266,14305,15966,12935,17767,14248,19200,17200,31995,24578,45637,37688,16056,24115,11763,15640,11489,15420,7672,13265,1934,9498,55,1030,0,0,0,0,0,0
2021-11,경부선,126,영등포,4544,92,15216,5982,16937,21645,38080,53658,54615,124429,37580,91187,36232,64151,38287,67014,44055,65974,51381,73977,56567,68724,69139,68180,84174,69626,102392,83982,145142,111870,81178,68218,82346,34443,66871,26990,55230,21203,17880,14275,152,2062,0,0,0,0,0,0
2021-11,경부선,127,신도림,433,3,2454,650,3301,2498,10417,6720,11908,16489,6735,6803,4615,4906,4416,4318,4858,4389,4766,4936,4543,4388,4728,5678,5674,6470,9626,9588,15130,14011,5410,7918,4526,4658,4731,4486,3390,3471,1170,2473,22,1388,0,0,0,0,0,0
2021-11,경부선,151,신길,797,6,10401,2431,11297,5929,22360,15566,31672,27623,17613,10991,10701,6477,10098,6210,11802,7112,10260,7937,9702,7634,10197,9208,14155,11473,19212,16128,27272,22727,11375,15910,7103,10082,7200,11036,4498,9937,1706,6393,26,1177,0,0,0,0,0,0
2021-11,경부선,250,구로,11576,26,24074,4899,18965,12539,37470,30482,37394,78540,26093,41385,19392,25259,19998,20973,21148,21589,22154,22425,22893,22266,25684,24240,30731,27720,52287,39570,65690,44343,26066,31356,18892,19047,17440,18132,12328,16955,3646,18325,28,10203,0,0,0,0,0,0
2021-11,경부선,251,가산디지털단지,1563,6,8074,2511,6995,10594,14915,52692,15410,157645,10792,80232,10089,23768,10987,16195,12840,15916,13987,16607,14240,15852,16457,16020,24415,18096,66877,24572,116641,29287,45357,20609,26452,12113,22651,11447,16274,10670,5165,5446,99,1227,0,0,0,0,0,0
2021-11,경부선,252,금천구청,565,3,12200,1577,18627,5033,47241,15252,44916,29566,24525,12660,17020,9436,15740,9525,15768,11138,14609,13259,13275,12514,13412,17144,14624,20271,18076,29158,25240,45137,11332,34464,8034,17378,6657,16753,4576,14447,1206,7284,31,563,0,0,0,0,0,0
2021-11,경부선,253,석수,434,3,7984,2798,15670,6756,38438,12707,39279,16852,20609,11379,13917,8800,11855,6469,12222,7216,11443,8388,10886,8322,12572,10211,14206,12719,18863,20209,18091,33493,9684,25980,6045,15286,4936,14747,3464,13229,958,6406,21,482,0,0,0,0,0,0
2021-11,경부선,254,관악,189,1,7571,2104,12571,4029,32256,5691,31808,9304,15468,9236,10225,8589,9163,6433,9831,7297,9591,7084,9488,7324,10042,8358,11612,10854,12163,15695,10334,27723,5743,22266,4313,12081,3734,11410,2100,9995,713,5526,19,499,0,0,0,0,0,0
2021-11,경부선,255,안양,294,6,14864,2747,29831,10389,82457,17484,75063,42115,39758,48153,27954,29782,28073,27251,34270,31044,33594,38103,30748,29826,36636,33763,50072,39726,51185,54258,39732,85814,23723,67028,21472,35202,22335,29623,19810,24409,6393,15927,59,1419,0,0,0,0,0,0
2021-11,경부선,256,명학,162,1,6878,1799,10563,6954,26504,24911,23777,55036,11526,13634,8848,8469,8596,6846,9948,7645,9205,8766,8980,7873,9667,7678,12572,9293,25317,12464,38126,20203,12161,18969,11564,10033,7153,8204,4875,8580,1485,5794,5,272,0,0,0,0,0,0
2021-11,경부선,257,금정,244,2,21647,6938,34766,24384,82783,41233,86985,91594,49528,32016,32980,20608,29654,20817,31453,23164,29702,24806,26680,25686,28608,32850,38053,40262,60371,58582,75918,86641,31656,71038,24438,39354,21771,38754,15749,33793,6101,24687,75,2995,0,0,0,0,0,0
2021-11,경부선,258,군포,26,1,5240,2344,8825,8072,19512,32429,18092,47249,9507,7959,7391,4692,6580,4708,7310,4959,7139,5809,6320,5502,6702,6036,9524,7763,22416,10536,36719,15909,11982,12679,10432,8002,6249,6157,3352,6063,938,3550,14,114,0,0,0,0,0,0
2021-11,경부선,259,의왕,145,4,6248,2125,12778,8352,31018,25748,30025,28809,13831,9770,10372,6899,10074,7125,10754,7798,10139,8903,9457,8152,10203,9930,14784,13308,24500,17779,24521,28956,10984,20094,7861,14229,6561,11843,3930,10078,1310,7042,8,298,0,0,0,0,0,0
2021-11,경부선,260,성균관대,128,2,8062,1834,25938,5661,65967,9260,53708,23399,25372,17288,18944,13302,16798,11618,18996,13854,18735,17605,15784,15071,17261,17489,22686,22379,26272,35674,23903,57057,13570,49068,10943,29515,10287,24892,9169,21434,3564,13341,57,1311,1,1,0,0,0,0
2021-11,경부선,261,화서,443,3,7522,1853,20618,4307,41525,6070,32979,10553,14244,6298,10460,5470,9744,5977,9048,6239,8650,7621,7707,7655,8185,8783,11006,11529,11534,19381,10141,33662,5489,28454,3921,15918,3404,11708,2847,11480,878,6852,20,1243,0,0,0,0,0,0
2021-11,경부선,262,수원,1721,32,18752,6670,32353,29843,71753,48763,65089,73989,41847,66876,37729,57493,44095,58613,48222,67323,49928,66182,51952,63669,62098,63463,83402,76054,88015,89224,93604,119347,71325,89680,72640,50187,55509,37881,49987,31200,17248,19442,330,6077,0,0,0,0,0,0
2021-11,경부선,263,독산,673,0,7718,2336,16995,12275,44612,42407,42038,110858,22674,51397,16033,16151,16299,12377,17510,14075,17096,13913,15981,12170,17412,15812,25517,18524,58022,26997,80065,44056,35799,34679,19454,19357,13805,19946,8370,17078,2211,8063,45,667,0,0,0,0,0,0
2021-11,경부선,264,세류,391,2,3507,729,7374,2508,14598,3884,9766,4529,4738,2691,3887,2519,3707,2773,3612,2934,3508,2906,2954,3028,3530,3764,4193,4685,5816,6159,5450,10794,3508,9294,2696,5488,2172,4755,1319,3925,358,2164,3,717,0,0,0,0,0,0
2021-11,경부선,265,병점,2979,29,7056,3062,24133,9732,54167,22837,40566,27717,25851,15199,20724,11537,20293,13306,21885,14717,18771,15663,17730,17018,20182,19763,25220,25020,31500,36593,32495,47727,18057,42192,12796,29215,11418,22828,8206,21582,2287,14123,21,5978,0,0,0,0,0,0
2021-11,경부선,266,세마,204,0,1922,417,5046,1337,10154,3588,8356,9273,5272,2302,3847,1995,3380,2170,3638,2233,3888,2764,3388,2945,3460,2644,4284,4791,5582,5981,7805,8055,3062,7562,1832,4762,1655,3955,964,3262,433,2124,31,157,0,0,0,0,0,0
2021-11,경부선,267,오산대,201,0,2721,1045,5904,2232,11820,4107,9807,10635,5570,4646,4523,4767,4271,4344,5220,4214,5623,4477,5120,4392,7155,3518,8775,5408,7944,7163,8969,11348,4068,9177,2903,5221,2765,4778,1708,3250,967,2551,77,180,0,0,0,0,0,0
2021-11,경부선,268,오산,361,3,6197,1921,14828,8174,24187,27010,23171,23498,15963,13842,14504,10767,15020,10170,17365,12106,14580,14258,14815,12444,16237,15576,20767,18815,26025,23093,28048,29029,14930,22793,12345,17691,8477,13375,4731,8844,1924,6662,117,553,0,0,0,0,0,0
2021-11,경부선,269,진위,12,0,778,268,1546,2493,2481,7474,2708,7860,1669,1963,1447,1209,1394,1111,1710,1027,1572,1169,1606,1062,2210,1285,2959,1499,6130,1880,9667,2170,2809,2220,2008,1410,1218,1432,548,1100,225,838,8,56,0,0,0,0,0,0
2021-11,경부선,270,송탄,80,3,6843,742,8175,2883,13333,5450,11146,8065,8357,3929,7056,3796,7452,3876,7208,5381,7278,5090,6170,5522,6521,6343,8253,8178,8796,11134,9783,12662,5593,13006,3864,8827,3099,7774,1753,6663,739,5575,49,675,0,0,0,0,0,0
2021-11,경부선,271,서정리,46,1,3589,5308,9441,7877,14779,13094,13260,18305,10438,10038,9646,6969,10037,6334,11443,9165,10458,9096,10431,8170,12004,8823,17277,12360,26668,15406,20144,13734,10611,15076,7832,10602,5841,8528,2757,8003,1062,6338,34,850,0,0,0,0,0,0
2021-11,경부선,272,평택지제,8,0,1263,4844,3315,9077,8768,10646,6686,7533,4482,4236,3865,2626,3646,2932,4992,3137,3083,3288,4153,3296,5635,3825,6864,4459,12344,5480,10065,7200,6780,6258,4149,4674,3890,3923,2887,3279,1226,2240,1,260,0,0,0,0,0,0
2021-11,경부선,273,평택,123,2,7783,2534,13158,8228,27464,15350,24773,24883,21434,18426,19555,15388,19427,20206,21107,19934,20515,20661,19943,22149,22518,22817,25561,27176,31430,33333,29140,36389,19171,26084,19628,18392,13022,15121,9999,11087,4755,7922,51,1498,0,0,0,0,0,0
2021-11,경부선,274,성환,10,0,1581,423,2914,2213,5250,10623,5781,14381,5199,13278,5179,6322,5854,5357,9056,8748,9776,10381,7206,5262,8735,5657,13490,5981,15722,6900,12523,7136,4739,5242,4764,4946,2994,4349,1829,3085,690,2823,68,790,0,0,0,0,0,0
2021-11,경부선,275,직산,37,3,434,242,1158,898,1617,2494,1742,3104,1217,963,1055,775,1020,876,1062,1044,1086,947,982,939,1218,899,1265,1158,2749,1386,3168,1451,1024,1520,681,970,563,940,296,664,157,692,21,152,0,0,0,0,0,0
2021-11,경부선,276,두정,1161,3,4234,695,8117,2032,13651,6030,12105,11392,9070,10248,7672,8285,8188,8239,9197,9834,9149,9177,8563,8061,10076,7114,11584,10322,12688,12636,13307,18389,7326,13481,5923,10221,5207,6864,3599,6079,1974,5922,43,1483,0,0,0,0,0,0
2021-11,경부선,277,천안,1241,1,2447,668,4879,2662,9551,5260,8736,12510,10277,11381,8198,11244,10633,12594,10765,12591,11438,11784,12558,11421,14439,10993,15386,11331,14424,15500,13379,15892,9200,10423,7217,7555,5193,5390,3087,3851,1519,3164,9,1536,0,0,0,0,0,0
2021-11,경부선,278,당정,26,2,3279,966,10636,2614,25969,9086,23071,15928,11391,5422,8230,4184,7686,4447,7912,4801,7876,5693,6120,5948,6785,6526,7583,8752,12202,12259,13860,20625,5634,17924,4414,11648,3454,9390,2896,8801,948,6065,17,206,0,0,0,0,0,0
2021-11,경부선,279,서동탄,1,0,1057,4,4518,778,10389,1759,3869,1588,2440,856,1851,673,1763,1209,1451,1068,1447,1155,1260,1307,1691,1743,1772,2071,1900,2948,2356,4653,1067,5714,800,2218,510,1980,454,2462,37,1543,9,1084,0,0,0,0,0,0
2021-11,경부선,280,광명,0,0,2,1387,2731,3347,12463,5468,10779,5729,5766,5337,3515,3465,5702,2385,4535,6823,4058,151,3539,6890,7436,3433,3028,4298,8293,5706,9074,12283,8091,7003,5565,3421,3714,5352,2073,2443,716,22,1,0,0,0,0,0,0,0
2021-11,경인선,294,개봉,1319,7,18071,5903,36384,13298,90064,14951,85491,24183,49201,17994,34268,15611,30717,17929,30840,21635,28444,22140,25570,25001,24332,32178,28727,41578,32369,57825,30096,89379,16422,67118,12279,38914,10674,35779,8174,29540,2679,15886,26,1019,1,0,0,0,0,0
2021-11,경인선,295,오류동,629,3,12556,2055,18434,5379,51270,6341,50585,10946,27752,10327,18951,9762,17484,9560,19257,11286,17009,12255,14123,13620,14324,17396,15520,20911,15938,27217,14102,44406,8031,37420,6040,21504,5100,19463,4066,16763,1387,10019,18,872,0,0,0,0,0,0
2021-11,경인선,296,역곡,986,14,28093,3876,44877,10580,118161,13090,116715,31317,61072,31127,39541,20834,35359,25534,38142,29466,35760,29361,31600,31265,31338,33780,35414,49898,42562,69200,36652,110017,21079,93870,17068,52426,14574,46741,12736,39990,4801,24935,18,1028,0,0,0,0,0,0
